;;;;;;;0
4;0;-0,5;0;19,95;10;79,2;1639
3;0;-0,5;0;39,89;10;79,2;1642
3;0;-0,44;0;19,95;10;79,2;1645
3;0;-0,46;0;40,89;10;79,2;1648
3;0;-0,46;0;19,95;10;79,2;1651
5;0;-0,4;0;45,88;10;79,2;1656
2;0;-0,68;0;14,46;10;79,2;1658
3;0;-0,34;0;33,41;10;79,2;1661
3;0;-0,45;0;17,45;10;79,2;1664
4;0;-0,3;0;35,41;10;79,2;1668
3;0;-0,29;0;19,45;10;79,2;1671
3;0;-0,29;0;37,4;10;79,2;1674
3;0;-0,33;0;19,45;10;79,2;1677
3;0;-0,32;0;39,39;10;79,2;1680
4;0;-0,25;0;19,95;10;79,2;1684
3;0;-0,29;0;39,89;10;79,2;1687
3;0;-0,3;0;20,94;10;79,2;1690
3;0;-0,34;0;41,39;10;79,2;1693
3;0;-0,31;0;20,45;10;79,2;1696
4;0;-0,37;0;41,39;10;79,2;1700
3;0;-0,33;0;20,45;10;79,2;1703
3;0;-0,38;0;40,39;10;79,2;1706
3;0;-0,37;0;19,45;10;79,2;1709
3;0;-0,35;0;39,39;10;79,2;1712
4;0;-0,37;0;20,45;10;79,2;1716
4;0;-0,3;0;43,88;10;79,2;1720
2;0;-0,38;0;17,95;10;79,2;1722
3;0;-0,42;0;35,9;10;76,4;1725
4;0;-0,42;0;19,45;10;76,4;1729
3;0;-0,51;0;39,39;10;76,4;1732
3;0;-0,42;0;19,45;10;76,4;1735
3;0;-0,37;0;39,89;10;76,4;1738
3;0;-0,37;0;19,95;10;76,4;1741
4;0;-0,41;0;40,39;10;76,4;1745
3;0;-0,39;0;20,45;10;76,4;1748
3;0;-0,43;0;40,89;10;76,4;1751
4;0;-0,38;0;23,44;10;76,4;1755
2;0;-0,4;0;40,89;10;76,4;1757
4;0;-0,48;0;19,45;10;76,4;1761
3;0;-0,42;0;39,89;10;76,4;1764
3;0;-0,3;0;19,95;10;76,4;1767
3;0;-0,43;0;39,89;10;76,4;1770
3;0;-0,38;0;19,95;10;76,4;1773
4;0;-0,43;0;40,39;10;76,4;1777
3;0;-0,35;0;20,45;10;76,4;1780
3;0;-0,35;0;40,89;10;76,4;1783
3;0;-0,34;0;20,94;10;76,4;1786
4;0;-0,41;0;41,39;10;76,4;1790
3;0;-0,4;0;19,95;10;76,4;1793
3;0;-0,31;0;40,39;10;76,4;1796
3;0;-0,3;0;19,45;10;76,4;1799
3;0;-0,32;0;39,39;10;76,4;1802
4;0;-0,34;0;19,95;10;76,4;1806
3;0;-0,33;0;40,39;10;76,4;1809
3;0;-0,33;0;20,45;10;76,4;1812
3;0;-0,31;0;40,89;10;76,4;1815
3;0;-0,3;0;20,45;10;76,4;1818
4;0;-0,41;0;41,39;10;76,4;1822
3;0;-0,32;0;19,95;10;72,5;1825
3;0;-0,36;0;40,89;10;72,5;1828
3;0;-0,37;0;19,45;10;72,5;1831
4;0;-0,41;0;39,39;10;72,5;1835
3;0;-0,42;0;19,95;10;72,5;1838
3;0;-0,35;0;39,39;10;72,5;1841
3;0;-0,37;0;19,95;10;72,5;1844
3;0;-0,34;0;40,89;10;72,5;1847
4;0;-0,4;0;20,45;10;72,5;1851
3;0;-0,4;0;41,39;10;72,5;1854
3;0;-0,35;0;20,94;10;72,5;1857
3;0;-0,29;0;40,89;10;72,5;1860
3;0;-0,34;0;20,45;10;72,5;1863
4;0;-0,22;0;40,39;10;72,5;1867
3;0;-0,34;0;19,95;10;72,5;1870
3;0;-0,25;0;38,9;10;72,5;1873
3;0;-0,26;0;19,95;10;72,5;1876
3;0;-0,39;0;39,89;10;72,5;1879
4;0;-0,24;0;20,94;10;72,5;1883
3;0;-0,28;0;39,89;10;72,5;1886
3;0;-0,28;0;19,95;10;72,5;1889
3;0;-0,2;0;40,39;10;72,5;1892
4;0;-0,21;0;20,45;10;72,5;1896
3;0;-0,17;0;41,39;10;72,5;1899
3;0;-0,27;0;20,45;10;72,5;1902
3;0;-0,18;0;40,39;10;72,5;1905
3;0;-0,21;0;19,45;10;72,5;1908
4;0;-0,18;0;39,39;10;72,5;1912
3;0;-0,21;0;21,44;10;72,5;1915
3;0;-0,15;0;39,39;10;72,5;1918
3;0;-0,17;0;21,44;10;72,5;1921
3;0;-0,24;0;40,89;10;65,1;1924
4;0;-0,22;0;20,45;10;65,1;1928
3;0;-0,17;0;42,89;10;65,1;1931
3;0;-0,21;0;19,95;10;65,1;1934
3;0;-0,16;0;39,39;10;65,1;1937
4;0;-0,18;0;19,45;10;65,1;1941
3;0;-0,16;0;38,4;10;65,1;1944
3;0;-0,16;0;18,95;10;65,1;1947
3;0;-0,04;0;19,95;10;61,5;1950
3;0;-0,01;0;40,39;10;61,5;1953
3;0;0,22;0;40,39;10;45,9;1956
3;0;1,22;0;19,45;10;45,9;1959
4;0;1,35;0;39,39;10;45,9;1963
