Robot;Delta_muestra;Input_d;d_ref;vel_ref;Input_vel;Input_theta;Output_d;Output_vel;Output_theta;;;;
T;40;10;10;0;0;0;0;0;0;0;15;0;1
S;40;6.7;10;-1;-0.02;0.07;-1;-40.69;-241.56;0;15;0;1
L;40;5.1;80;0;0.22;-0.17;0;-16.13;552.53;0;15;0;1
T;40;10.1;10;0;0;0;0;0;0;0;15;0;1
S;40;6.7;10;-1;-0.09;0.01;-1;-44.35;53.64;0;15;0;1
L;40;6;80;0;-0.07;-0.12;0;-9.66;282.96;0;15;0;1
T;40;10.4;10;0;0;0;0;0;0;0;15;0;1
S;40;6.3;10;-1;-0.31;0;-1;-43.9;-20.08;0;15;0;1
L;40;8.6;80;0;-0.04;-0.14;0;-10.21;445.63;0;15;0;1
T;40;10;10;0;0;0;0;0;0;0;15;0;1
S;40;6.4;10;-1;-0.4;0;-1;-45.62;-43.1;0;15;0;1
L;40;9.1;80;0;0;-0.12;0;-10.88;367.57;0;15;0;1
T;40;10.3;10;0;0;0;0;0;0;0;15;0;1
S;40;6.7;10;-1;-0.41;0;-1;-48.95;-40.39;0;15;0;1
L;40;12.2;80;0;0.02;-0.14;0;-11.38;471.56;0;15;0;1
T;40;10.2;10;0;0;0;0;0;0;0;15;0;1
S;40;7.2;10;-1;-0.31;-0.01;-1;-54.83;18.01;0;15;0;1
L;40;19;80;0;-0.01;-0.14;0;-10.81;472.22;0;15;0;1
T;40;10.2;10;0;0;0;0;0;0;0;15;0;1
S;40;7.4;10;-1;-0.3;0;-1;-59.26;-57.39;0;15;0;1
L;40;23;80;0;-0.08;-0.13;0;-8.96;483.06;0;15;0;1
T;40;10.2;10;0;0;0;0;0;0;0;15;0;1
S;40;8;10;-1;-0.22;0;-1;-65.31;-18.73;0;15;0;1
L;40;19.9;80;0;-0.09;-0.12;0;-8.24;446.96;0;15;0;1
T;40;10.2;10;0;0;0;0;0;0;0;15;0;1
S;40;9.5;10;-1;-0.19;0;-1;-70.76;-14.77;0;15;0;1
L;40;20.2;80;0;-0.04;-0.11;0;-8.85;460.53;0;15;0;1
T;40;10.1;10;0;0;-0.04;0;0;0;0;15;0;1
S;40;11.3;10;1;-0.13;0;1;-24.75;-43.69;0;15;0;1
L;40;19.2;80;0;0;0.02;0;-0.12;-63.61;0;15;0;1
T;40;10.5;10;0;0;0;0;0;0;0;15;0;1
S;40;11.7;10;1;-0.06;0;1;-20.07;-25.59;0;15;0;1
L;40;18.5;80;0;0.11;-0.13;0;-2.85;509.61;0;15;0;1
T;40;10;10;0;0;0;0;0;0;0;15;0;1
S;40;11.6;10;1;0;0;1;-15.32;-30.91;0;15;0;1
L;40;20.7;80;0;-0.18;-0.15;0;3.96;357.09;0;15;0;1
T;40;10.4;10;0;0;0.01;0;0;0;0;15;0;1
S;40;11.8;10;1;0;0.04;1;-9.51;-180.46;0;15;0;1
L;40;21.1;80;0;-0.03;0.02;0;0.74;-71.98;0;15;0;1
T;40;10.3;10;0;0;0;0;0;0;0;15;0;1
S;40;11.4;10;1;0.08;0;1;-5.91;20.23;0;15;0;1
L;40;18.2;80;0;-0.26;0.02;0;6.85;-75.43;0;15;0;1
T;40;10.1;10;0;0;0;0;0;0;0;15;0;1
S;40;11.1;10;1;-0.16;0;1;5.8;-20.91;0;15;0;1
L;40;16.7;80;0;-0.05;0.02;0;1.26;-80.97;0;15;0;1
T;40;10.3;10;0;0;0;0;0;0;0;15;0;1
S;40;10.7;10;1;0.03;-0.02;1;7.62;20.58;0;15;0;1
L;40;16.3;80;0;-0.05;0.02;0;1.36;-69.46;0;15;0;1
T;40;10.4;10;0;0;0;0;0;0;0;15;0;1
S;40;10.9;10;1;0.14;-0.02;1;10.35;12.84;0;15;0;1
L;40;17.1;80;0;-0.01;0.02;0;0.52;-33.66;0;15;0;1
T;40;10.3;10;0;0;0;0;0;0;0;15;0;1
S;40;10.9;10;1;0;-0.02;1;18.87;6.61;0;15;0;1
L;40;16;80;0;0;0.02;0;-0.06;-59.42;0;15;0;1
T;40;10.4;10;0;0;0;0;0;0;0;15;0;1
S;40;11;10;1;0;-0.02;1;24.66;8.01;0;15;0;1
L;40;19.9;80;0;-0.06;-0.13;0;1.61;493.19;0;15;0;1
T;40;10.4;10;0;0;0.01;0;0;0;0;15;0;1
S;40;11;10;1;0;-0.06;1;30.48;163.11;0;15;0;1
L;40;20.2;80;0;0.14;0.02;0;-3.68;-57.55;0;15;0;1
T;40;10.4;10;0;0;0.01;0;0;0;0;15;0;1
S;40;11;10;1;0.2;-0.02;1;31.12;-40.63;0;15;0;1
L;40;20.1;80;0;0.08;0.02;0;-2.1;-65.08;0;15;0;1
T;40;9.9;10;0;0;0;0;0;0;0;15;0;1
S;40;10.2;10;0.8;0.41;-0.01;0.8;25.18;-8.81;0;15;0;1
L;40;19.6;80;0;-0.13;-0.13;0;2.91;518.53;0;15;0;1
T;40;10.2;10;0;0;0;0;0;0;0;15;0;1
S;40;10;10;0;0.39;-0.01;0;0;0;0;15;0;1
L;40;17.5;80;0;-0.26;0.01;0;0;0;0;15;0;1
T;40;10.3;10;0;0;0;0;0;0;0;15;0;1
S;40;10.2;10;0;0.25;-0.01;0;0;0;0;15;0;1
L;40;20.1;80;0;-0.23;0.02;0;6.05;-69.77;0;15;0;1
T;40;10;10;0;0;0;0;0;0;0;15;0;1
S;40;10.2;10;0;0.17;-0.01;0;0;0;0;15;0;1
L;40;18.3;80;0;-0.1;0.02;0;2.69;-62.11;0;15;0;1
T;40;10.1;10;0;0;0.01;0;0;0;0;15;0;1
S;40;10.1;10;0;0.12;-0.01;0;0;0;0;15;0;1
L;40;15.8;80;0;0.2;0.02;0;-5.34;-66.82;0;15;0;1
T;40;10.3;10;0;0;0;0;0;0;0;15;0;1
S;40;10.3;10;0;0.02;-0.01;0;0;0;0;15;0;1
L;40;15.3;80;0;0.16;-0.12;0;-5.26;481.64;0;15;0;1
T;40;10.1;10;0;0;0;0;0;0;0;15;0;1
S;40;10.1;10;0;0.02;-0.01;0;0;0;0;15;0;1
L;40;18.9;80;0;-0.26;-0.1;0;4.75;206.02;0;15;0;1
T;40;10.2;10;0;0;0;0;0;0;0;15;0;1
S;40;9.8;10;0;0.02;-0.01;0;0;0;0;15;0;1
L;40;18.8;80;0;-0.09;0.02;0;2.4;-66.26;0;15;0;1
T;40;10.2;10;0;0;0;0;0;0;0;15;0;1
S;40;9.1;10;0;0.01;-0.01;0;0;0;0;15;0;1
L;40;21;80;0;0.06;0.02;0;-1.44;-78.74;0;15;0;1
T;40;10.2;10;0;0;0.01;0;0;0;0;15;0;1
S;40;8.8;10;-1;0.01;-0.01;-1;-26.4;24.54;0;15;0;1
L;40;19.1;80;0;0.13;-0.13;0;-3.66;493.94;0;15;0;1
T;40;10.3;10;0;0;0;0;0;0;0;15;0;1
S;40;8.8;10;-1;-0.08;0;-1;-29.88;-12.29;0;15;0;1
L;40;17;80;0;0.05;-0.13;0;-2.5;303.61;0;15;0;1
T;40;10.1;10;0;0;0;0;0;0;0;15;0;1
S;40;8.6;10;-1;-0.05;0.01;-1;-35.98;-26.44;0;15;0;1
L;40;80;80;0;0.04;-0.12;0;-2.41;281.11;0;15;0;1
T;40;10.3;10;0;0;0;0;0;0;0;15;0;1
S;40;8.7;10;-1;-0.1;0.01;-1;-40.33;-18.65;0;15;0;1
L;40;80;80;0;0.1;0.02;0;-2.64;-63.83;0;15;0;1
T;40;10.2;10;0;0;0;0;0;0;0;15;0;1
S;40;8.9;10;-1;-0.17;-0.03;-1;-43.71;104.59;0;15;0;1
L;40;10.2;80;0;0.09;-0.12;0;-2.96;480.09;0;15;0;1
T;40;10.1;10;0;0;0;0;0;0;0;15;0;1
S;40;8.6;10;-1;-0.25;0.01;-1;-46.35;-69.35;0;15;0;1
L;40;11.8;80;0;-0.03;-0.13;0;-0.37;327.14;0;15;0;1
T;40;10.3;10;0;0;0.01;0;0;0;0;15;0;1
S;40;8.9;10;-1;-0.42;0;-1;-46.19;-1.15;0;15;0;1
L;40;80;80;0;-0.09;-0.12;0;1.43;277.8;0;15;0;1
T;40;10.1;10;0;0;0.01;0;0;0;0;15;0;1
S;40;9;10;-1;-0.47;0.01;-1;-48.26;-42.55;0;15;0;1
L;40;80;80;0;-0.06;0.02;0;1.53;-59.43;0;15;0;1
T;40;10.3;10;0;0;0;0;0;0;0;15;0;1
S;40;9;10;-1;-0.31;0.01;-1;-55.67;-10.29;0;15;0;1
L;40;12.8;80;0;0.02;0.02;0;-0.48;-77.03;0;15;0;1
T;40;10.3;10;0;0;0;0;0;0;0;15;0;1
S;40;9.3;10;-1;-0.24;0.01;-1;-61.34;-12.42;0;15;0;1
L;40;14.3;80;0;0.11;-0.12;0;-3.03;470.98;0;15;0;1
T;41;10.4;10;0;0;0;0;0;0;0;15;0;1
S;40;9.9;10;0;-0.17;-0.01;0;0;0;0;15;0;1
L;40;15.4;80;0;-0.01;-0.13;0;-0.55;298.02;0;15;0;1
T;40;10.3;10;0;0;0.01;0;0;0;0;15;0;1
S;40;9.6;10;0;-0.09;-0.01;0;0;0;0;15;0;1
L;40;14.8;80;0;-0.06;-0.1;0;0.8;236.56;0;15;0;1
T;40;10.1;10;0;0;0;0;0;0;0;15;0;1
S;40;10.4;10;0;-0.06;-0.01;0;0;0;0;15;0;1
T;40;10.1;10;0;0;0.01;0;0;0;0;15;0;1
S;40;11.7;10;1;-0.04;-0.01;1;27.2;40.96;0;15;0;1
L;40;19.1;80;0;0.09;0.02;0;-2.27;-84.69;0;15;0;1
T;40;10.5;10;0;0;0;0;0;0;0;15;0;1
S;40;11.8;10;1;0.07;-0.01;1;30.4;16.34;0;15;0;1
L;40;18.8;80;0;0.1;-0.13;0;-3.02;522.09;0;15;0;1
T;40;10.2;10;0;0;0;0;0;0;0;15;0;1
S;40;11.9;10;1;0.26;-0.01;1;30.71;22.98;0;15;0;1
L;40;17.3;80;0;0.03;0.02;0;-0.69;-78.55;0;15;0;1
T;40;10.3;10;0;0;0;0;0;0;0;15;0;1
S;40;11.5;10;1;0.25;-0.01;1;35.37;20.19;0;15;0;1
L;40;20.8;80;0;-0.05;-0.13;0;1.18;518.83;0;15;0;1
T;40;10.5;10;0;0;0;0;0;0;0;15;0;1
S;40;12;10;1;0.08;-0.01;1;44.25;16.4;0;15;0;1
L;40;18.7;80;0;-0.02;0.02;0;0.41;-74.14;0;15;0;1
T;40;10.3;10;0;0;0;0;0;0;0;15;0;1
S;40;11.8;10;1;0.08;-0.01;1;49.53;20.46;0;15;0;1
L;40;22;80;0;-0.03;0.02;0;0.72;-75.26;0;15;0;1
T;40;10.4;10;0;0;0;0;0;0;0;15;0;1
S;40;11.7;10;1;0.07;-0.01;1;55.07;27.96;0;15;0;1
L;40;27.3;80;0;-0.01;0.02;0;0.27;-83.99;0;15;0;1
T;40;10.3;10;0;0;0.01;0;0;0;0;15;0;1
S;40;11.4;10;1;0.05;-0.01;1;61.06;26.22;0;15;0;1
T;40;10.3;10;0;0;0;0;0;0;0;15;0;1
L;41;33.1;80;0;-0.03;0.02;0;0.69;-69.95;0;15;0;1
S;40;11.6;10;1;0.05;-0.01;1;66.55;23.29;0;15;0;1
L;40;38.2;80;0;-0.02;0.02;0;0.64;-41.65;0;15;0;1
T;40;10.1;10;0;0;0;0;0;0;0;15;0;1
S;40;11.8;10;1;0.12;-0.01;1;70.24;26.93;0;15;0;1
L;40;37.9;80;0;-0.04;0.02;0;0.95;-62.48;0;15;0;1
T;40;10.2;10;0;0;0;0;0;0;0;15;0;1
S;40;11.8;10;1;0.25;-0.01;1;71.89;22.56;0;15;0;1
L;40;37.8;80;0;-0.02;0.02;0;0.57;-72.24;0;15;0;1
T;40;10.4;10;0;0;0;0;0;0;0;15;0;1
S;40;11.6;10;1;0.3;0;1;74.98;11.57;0;15;0;1
L;40;40.4;80;0;-0.02;0.02;0;0.69;-39.51;0;15;0;1
T;40;10;10;0;0;0;0;0;0;0;15;0;1
S;40;11.5;10;1;0.34;0;1;78.12;13.84;0;15;0;1
L;40;38.3;80;0;-0.11;0.02;0;3.04;-61.89;0;15;0;1
T;40;10.3;10;0;0;0.01;0;0;0;0;15;0;1
S;40;11.5;10;1;0.38;0;1;80.86;17.52;0;15;0;1
L;40;39.9;80;0;-0.07;0.02;0;1.95;-70.91;0;15;0;1
T;40;10.5;10;0;0;0;0;0;0;0;15;0;1
S;40;11.7;10;1;0.6;0;1;78.59;15.4;0;15;0;1
L;40;39.6;80;0;-0.04;0.02;0;1;-77.59;0;15;0;1
T;40;10.3;10;0;0;0.01;0;0;0;0;15;0;1
S;40;11.6;10;1;1.31;0;1;62.57;16.85;0;15;0;1
L;40;38.6;80;0;-0.03;0.02;0;0.75;-57.48;0;15;0;1
T;40;10.4;10;0;0;0;0;0;0;0;15;0;1
S;40;11.4;10;1;0.91;0;1;71.09;7.08;0;15;0;1
L;40;36.8;80;0;-0.04;0.02;0;0.99;-58.15;0;15;0;1
T;40;10.4;10;0;0;0;0;0;0;0;15;0;1
S;40;11.5;10;1;0.88;0;1;72.52;7.01;0;15;0;1
L;41;34.8;80;0;-0.03;0.02;0;0.69;-60.69;0;15;0;1
T;40;10.4;10;0;0;0.01;0;0;0;0;15;0;1
S;40;11.5;10;1;0.78;0;1;75.62;10.64;0;15;0;1
L;40;23.6;80;0;-0.02;0.02;0;0.48;-71.83;0;15;0;1
T;40;10.4;10;0;0;0;0;0;0;0;15;0;1
S;40;11.6;10;1;0.95;0;1;72.49;2.46;0;15;0;1
L;40;21.5;80;0;-0.01;0.02;0;0.34;-69.31;0;15;0;1
T;40;10.5;10;0;0;0;0;0;0;0;15;0;1
S;40;11.3;10;1;0.98;0;1;72.04;4.57;0;15;0;1
L;40;22.1;80;0;0;0.02;0;-0.06;-74.23;0;15;0;1
T;40;10.6;10;0;0;0;0;0;0;0;15;0;1
S;40;11.7;10;1;0.94;0;1;73.17;6.83;0;15;0;1
L;40;21.3;80;0;-0.01;-0.15;0;0.33;574.66;0;15;0;1
T;40;10.6;10;0;0;0;0;0;0;0;15;0;1
S;40;11.3;10;1;0.85;0.01;1;75.8;-3.09;0;15;0;1
L;40;21.2;80;0;0;0.02;0;-0.09;-71.28;0;15;0;1
T;40;10.6;10;0;0;0;0;0;0;0;15;0;1
S;40;11.3;10;1;0.84;0;1;77.12;7.87;0;15;0;1
L;40;21.4;80;0;-0.03;-0.21;0;0.81;814.34;0;15;0;1
T;40;10.7;10;0;0;0.01;0;0;0;0;15;0;1
S;40;10.9;10;1;0.82;0;1;78.49;4.63;0;15;0;1
L;40;22;80;0;-0.01;0.02;0;0.32;-66.81;0;15;0;1
T;40;10.6;10;0;0;0.01;0;0;0;0;15;0;1
S;40;11.1;10;1;0.78;0;1;80.64;1.56;0;15;0;1
L;40;22.3;80;0;-0.01;0.02;0;0.22;-64.84;0;15;0;1
T;40;10.9;10;0;0;0;0;0;0;0;15;0;1
S;40;10.9;10;1;0.84;0;1;80.39;-1.15;0;15;0;1
L;40;22.2;80;0;-0.04;0.02;0;1.15;-77.55;0;15;0;1
T;40;10.7;10;0;0;0;0;0;0;0;15;0;1
S;40;11.2;10;1;0.91;0;1;79.48;4.15;0;15;0;1
L;40;23.3;80;0;-0.01;0.02;0;0.36;-71.64;0;15;0;1
T;40;10.8;10;0;0;0;0;0;0;0;15;0;1
S;40;10.9;10;1;0.99;0;1;77.85;-1.58;0;15;0;1
L;40;22.8;80;0;0.01;0.02;0;-0.37;-74.98;0;15;0;1
T;40;10.8;10;0;0;0;0;0;0;0;15;0;1
S;40;10.8;10;1;1.09;0;1;75.39;-2.39;0;15;0;1
L;40;22.8;80;0;0.01;-0.12;0;-0.34;453.31;0;15;0;1
T;40;10.9;10;0;0;0;0;0;0;0;15;0;1
S;40;10.9;10;1;1.15;0;1;73.26;-0.86;0;15;0;1
L;40;22.7;80;0;-0.09;-0.12;0;2.22;299.53;0;15;0;1
T;40;11.1;10;0;0;0;0;0;0;0;15;0;1
S;40;10.5;10;1;1.14;0;1;72.63;-3.41;0;15;0;1
L;40;23.9;80;0;-0.07;0.02;0;1.89;-67.32;0;15;0;1
T;40;11.1;10;0;0;0;0;0;0;0;15;0;1
S;40;9.7;10;-1;1.1;0;-1;20.67;-6.49;0;15;0;1
L;40;23.9;80;0;-0.05;0.02;0;1.24;-70.91;0;15;0;1
T;40;10.9;10;0;0;0;0;0;0;0;15;0;1
S;40;9.2;10;-1;0.17;0;-1;32.6;-4.4;0;15;0;1
L;40;25.1;80;0;0.02;0.02;0;-0.52;-55.81;0;15;0;1
T;40;10.9;10;0;0;0;0;0;0;0;15;0;1
S;40;9.3;10;-1;0.21;0;-1;24.74;-3.07;0;15;0;1
L;40;25.2;80;0;0.05;-0.14;0;-1.36;544.75;0;15;0;1
T;40;10.8;10;0;0;0;0;0;0;0;15;0;1
S;40;9.5;10;-1;0.32;0;-1;14.88;2.76;0;15;0;1
L;40;24.7;80;0;-0.03;-0.15;0;0.41;356.17;0;15;0;1
T;40;10.9;10;0;0;0;0;0;0;0;15;0;1
S;41;9.1;10;-1;0.18;0;-1;10.76;-2.91;0;15;0;1
L;40;26.7;80;0;-0.12;0.02;0;3.2;-57.53;0;15;0;1
T;40;11.3;10;0;0;0;0;0;-11.16;0;15;0;1
S;40;7.8;10;-1;0.16;0;-1;4.45;-10.18;0;15;0;1
L;40;27.3;80;0;-0.12;0.02;0;3.23;-57.62;0;15;0;1
T;40;10.9;10;0;0;0.08;0;0;-279.75;0;15;0;1
S;40;7.6;10;-1;0.11;0;-1;-1.12;4.08;0;15;0;1
L;40;26.5;80;0;-0.17;0.01;0;0;0;0;15;0;1
T;40;11;10;0;-0.37;0.07;0;9.68;-159.47;0;15;0;1
S;40;7.8;10;-1;0.08;0.01;-1;-6.64;-21.62;0;15;0;1
L;40;28;80;0;-0.3;0.03;0;7.79;-97.97;0;15;0;1
T;40;10.9;10;0;-0.09;-0.02;0;4.58;148.14;0;15;0;1
S;40;7.5;10;-1;0.05;0.01;-1;-12.3;-29.83;0;15;0;1
L;40;27.1;80;0;-0.42;0.02;0;10.89;-82.85;0;15;0;1
T;40;10.8;10;0;-0.02;-0.03;0;3.13;45.84;0;15;0;1
S;40;7.8;10;-1;0.02;0.01;-1;-17.55;-29.1;0;15;0;1
L;40;27.7;80;0;-0.6;0.02;0;15.76;-82.98;0;15;0;1
T;40;10.9;10;0;-0.08;-0.02;0;4.96;21.14;0;15;0;1
S;40;7.5;10;-1;-0.01;0.02;-1;-22.78;-55.45;0;15;0;1
L;40;27.7;80;0;-0.72;0.03;0;22.37;-79.21;0;15;0;1
T;40;10.9;10;0;0.01;-0.02;0;3;25.26;0;15;0;1
S;40;7.5;10;-1;-0.19;0.01;-1;-23.63;-3.44;0;15;0;1
L;40;27.7;80;0;-0.41;0.03;0;18.5;-65.62;0;15;0;1
T;40;10.9;10;0;0.01;-0.02;0;3.02;37.44;0;15;0;1
S;40;7.7;10;-1;-0.26;0;-1;-26.5;-12.11;0;15;0;1
L;40;27.5;80;0;-0.4;0.03;0;20.62;-74.97;0;15;0;1
T;40;11.1;10;0;-0.01;-0.02;0;3.42;42.34;0;15;0;1
S;40;7.5;10;-1;-0.26;0.01;-1;-30.99;-49.5;0;15;0;1
L;40;27.7;80;0;-0.24;0.02;0;18.77;-55.25;0;15;0;1
T;40;10.9;10;0;-0.01;-0.02;0;3.45;46.91;0;15;0;1
S;40;7.6;10;-1;-0.04;0.01;-1;-41.02;-14.65;0;15;0;1
L;40;28.1;80;0;-0.13;0.04;0;3.37;-143.28;0;15;0;1
T;40;11;10;0;-0.01;-0.02;0;3.55;44.69;0;15;0;1
S;40;7.5;10;-1;-0.38;0.01;-1;-37.79;-35.09;0;15;0;1
L;40;27.4;80;0;-0.31;0.03;0;8.86;-54.05;0;15;0;1
T;40;10.8;10;0;-0.01;-0.02;0;3.6;48.66;0;15;0;1
S;40;7.6;10;-1;-0.1;0.01;-1;-48.6;-20.3;0;15;0;1
L;40;26.7;80;0;-0.2;0.03;0;7.86;-83.54;0;15;0;1
T;40;10.8;10;0;-0.01;-0.02;0;3.61;52.44;0;15;0;1
S;40;8;10;-1;-0.08;0.01;-1;-54.29;-51.61;0;15;0;1
L;40;27.7;80;0;-0.01;0.02;0;4;-60.64;0;15;0;1
T;40;11.3;10;0;-0.01;-0.02;0;3.62;56.36;0;15;0;1
S;40;7.9;10;-1;-0.08;0.01;-1;-59.71;-17.99;0;15;0;1
L;40;28.1;80;0;0.25;0.09;0;-6.45;-327.26;0;15;0;1
T;40;11;10;0;0.05;-0.02;0;2.3;59.04;0;15;0;1
S;40;8;10;-1;-0.06;0;-1;-65.55;-24.56;0;15;0;1
L;40;27.7;80;0;0.42;0.03;0;-11.03;-105.3;0;15;0;1
T;40;11.1;10;0;-0.05;-0.02;0;4.6;59.96;0;15;0;1
S;40;8.3;10;-1;-0.06;0.01;-1;-71.12;-34.28;0;15;0;1
L;40;26.6;80;0;0.29;-0.13;0;-10.04;533.63;0;15;0;1
T;40;10.9;10;0;-0.02;-0.02;0;4.14;73.2;0;15;0;1
S;40;8.1;10;-1;-0.06;0.01;-1;-76.58;-54.13;0;15;0;1
L;40;25.9;80;0;0.14;-0.11;0;-7.68;213.41;0;15;0;1
T;40;10.7;10;0;-0.02;-0.02;0;4.09;68.2;0;15;0;1
S;40;8;10;-1;-0.06;0.01;-1;-82.02;-43.79;0;15;0;1
L;40;24.9;80;0;0;-0.12;0;-4.88;328.35;0;15;0;1
T;40;11;10;0;-0.02;-0.02;0;4.18;69.78;0;15;0;1
S;40;8.5;10;-1;-0.18;0.02;-1;-84.38;-85.07;0;15;0;1
L;40;19;80;0;0.09;-0.15;0;-7.27;429.81;0;15;0;1
T;40;10.8;10;0;-0.01;-0.02;0;4.15;81.7;0;15;0;1
S;40;8.7;10;-1;-0.4;0;-1;-83.29;-9.06;0;15;0;1
L;40;24.9;80;0;0.17;-0.12;0;-9.98;311.94;0;15;0;1
T;40;10.8;10;0;-0.01;-0.02;0;4.13;81.78;0;15;0;1
S;40;9.1;10;-1;-0.57;-0.04;-1;-82.34;134.09;0;15;0;1
L;40;30.8;80;0;0;-0.13;0;-6.34;405.05;0;15;0;1
T;40;10.6;10;0;-0.01;-0.02;0;4.11;80.59;0;15;0;1
S;40;9.2;10;-1;-0.82;0;-1;-78.44;-87.12;0;15;0;1
L;40;17.4;80;0;-0.42;-0.13;0;4.58;421.91;0;15;0;1
T;40;10.8;10;0;0;-0.02;0;4.1;87.79;0;15;0;1
S;40;9.7;10;-1;-0.97;-0.01;-1;-75.62;21.13;0;15;0;1
L;40;21.6;80;0;-1.06;-0.23;0;23.63;810.03;0;15;0;1
T;40;10.8;10;0;0;-0.02;0;4.09;89.42;0;15;0;1
S;40;9.7;10;-1;-1.05;0;-1;-73.61;-36.76;0;15;0;1
L;40;80;80;0;-1.56;-0.22;0;42.84;664.77;0;15;0;1
T;40;10.7;10;0;0;-0.02;0;4.09;95.68;0;15;0;1
S;40;9.9;10;0;-0.95;0;0;0;0;0;15;0;1
L;40;11;80;0;-1.77;-0.09;0;57.47;235.67;0;15;0;1
T;40;10.7;10;0;0;-0.02;0;4.08;89.75;0;15;0;1
S;40;10;10;0;-0.6;0;0;0;0;0;15;0;1
L;40;16.5;80;0;0.68;-0.16;0;3.7;697.16;0;15;0;1
T;40;11;10;0;0;-0.02;0;4.08;100.41;0;15;0;1
S;40;9.9;10;0;-0.08;-0.01;0;0;0;0;15;0;1
L;40;13.3;80;0;0.08;-0.07;0;15.57;320.55;0;15;0;1
T;40;10.8;10;1;0;-0.02;1;30.19;108.19;0;15;0;1
S;40;10;10;0;-0.06;-0.01;0;0;0;0;15;0;1
L;40;9.9;80;0;0.5;0;0;0;0;0;15;0;1
T;40;10.6;10;1;0.01;-0.02;1;35.81;105.74;0;15;0;1
S;40;10.7;10;0;-0.07;0;0;0;0;0;15;0;1
L;40;6.6;80;0;1.02;0.02;0;-26.67;-88.72;0;15;0;1
T;40;10.6;10;1;0.6;-0.02;1;26.1;100.74;0;15;0;1
S;40;10.5;10;0;-0.07;-0.01;0;0;0;0;15;0;1
L;40;3;80;0;0.68;-0.13;0;-23.6;516.13;0;15;0;1
T;40;10.6;10;1;0.58;-0.02;1;28.99;105.61;0;15;0;1
L;40;6.8;80;0;0.33;-0.12;0;-18.54;277.24;0;15;0;1
T;40;10.4;10;1;0.79;-0.01;1;25.97;92.32;0;15;0;1
S;40;10.5;10;0;-0.06;0;0;0;0;0;15;0;1
S;40;10.9;10;0;-0.04;0;0;0;0;0;15;0;1
L;40;5.8;80;0;-0.5;-0.12;0;1.31;299.04;0;15;0;1
T;40;10.6;10;1;0.83;-0.01;1;26.03;87.5;0;15;0;1
S;40;10.8;10;0;-0.03;0;0;0;0;0;15;0;1
L;40;4.6;80;0;-1.1;0.14;0;19.85;-621.91;0;15;0;1
T;40;10.5;10;1;0.82;-0.01;1;27.26;89.7;0;15;0;1
S;40;10.8;10;0;-0.02;0;0;0;0;0;15;0;1
L;40;10;80;0;-1.14;0.13;0;27.2;-218.94;0;15;0;1
T;40;10.5;10;1;0.61;0;1;33.86;81.08;0;15;0;1
S;40;11.1;10;0;-0.02;-0.01;0;0;0;0;15;0;1
L;40;5.1;80;0;-0.78;0.06;0;24.62;-4.94;0;15;0;1
T;40;10.8;10;1;0.61;0;1;36.11;75.65;0;15;0;1
S;40;11;10;0;-0.01;0;0;0;0;0;15;0;1
L;40;7.4;80;0;-0.24;0.03;0;14.94;-15.64;0;15;0;1
T;40;10.4;10;1;0.58;0;1;39.23;82.06;0;15;0;1
S;40;10.9;10;0;-0.01;0;0;0;0;0;15;0;1
L;40;7.5;80;0;0.01;0.03;0;9.73;-54.02;0;15;0;1
T;40;10.3;10;1;0.59;0;1;41.33;61.02;0;15;0;1
S;40;11.1;10;0;-0.01;-0.01;0;0;0;0;15;0;1
L;40;8.3;80;0;-0.03;0.02;0;10.75;-50.62;0;15;0;1
T;40;10.6;10;1;0.53;0;1;45.23;69.63;0;15;0;1
S;40;10.9;10;0;0;0;0;0;0;0;15;0;1
L;40;7.6;80;0;0.13;0.02;0;6.8;-46.97;0;15;0;1
T;40;10.4;10;1;0.47;0.01;1;49.48;54.02;0;15;0;1
S;40;11;10;0;0;-0.01;0;0;0;0;15;0;1
L;40;5.9;80;0;0.15;0.02;0;5.53;-45.95;0;15;0;1
T;40;10.4;10;1;0.48;0.01;1;52.48;57.24;0;15;0;1
S;40;11;10;0;0;-0.01;0;0;0;0;15;0;1
L;40;5;80;0;0.01;0.01;0;0;0;0;15;0;1
T;40;10.4;10;1;0.46;0.01;1;55.91;45.84;0;15;0;1
S;40;10.8;10;0;0;0;0;0;0;0;15;0;1
L;40;80;80;0;-0.16;0.01;0;0;0;0;15;0;1
T;40;10.6;10;1;0.45;0.01;1;59.33;47.38;0;15;0;1
S;40;11.1;10;0;0;0;0;0;0;0;15;0;1
L;40;6.5;80;0;-0.4;-0.04;0;10.32;134.89;0;15;0;1
T;40;10.3;10;1;0.28;0.01;1;66.98;42.38;0;15;0;1
S;40;10.7;10;0;0;0;0;0;0;0;15;0;1
L;40;9.7;80;0;-0.36;-0.04;0;11.69;94.94;0;15;0;1
T;40;10.2;10;0.8;0.46;0.01;0.8;61.15;33.26;0;15;0;1
S;40;11;10;0;0;-0.01;0;0;0;0;15;0;1
L;40;5.5;80;0;-0.23;-0.05;0;6.07;173.31;0;15;0;1
T;40;10.5;10;1;0.46;0.02;1;68.31;28.73;0;15;0;1
S;40;10.9;10;0;0;-0.01;0;0;0;0;15;0;1
L;40;13.7;80;0;-0.18;-0.02;0;4.81;75.5;0;15;0;1
T;40;10.3;10;1;0.48;0.02;1;71.14;14.88;0;15;0;1
